"CONAME","lat","long","NAICS6","NAICSD","sales_M","employees","PUBPRV","HDBRCH","is_hq","STATE","STCITY","year"
"Yt Technologies",49.1962566,-123.107999,541370,"Surveying and Mapping (except Geophysical) Service",0.296,3,NA,NA,TRUE,"BC","Richmond",2025
"Integrus Engineering Inc",49.310649,-123.083684,541330,"Engineering Services",2.924,15,NA,NA,TRUE,"BC","North Vancouver",2025
"Rapid General Networks Ltd",49.401225,-123.247418,541511,"Custom Computer Programming Services",0.15,1,NA,NA,TRUE,"BC","West Vancouver",2025
"PC Consulting",49.894303,-96.98793,541511,"Custom Computer Programming Services",0.3,2,NA,NA,TRUE,"MB","Winnipeg",2025
"Caltech Surveys Manitoba Land",49.848441,-99.961349,541370,"Surveying and Mapping (except Geophysical) Service",0.296,3,NA,NA,TRUE,"MB","Brandon",2025
"Amec E & C Svc Ltd",45.270856,-66.061916,541330,"Engineering Services",10.136,52,NA,NA,TRUE,"NB","Saint John",2025
"Norcon Inc",46.0225919,-66.675174,541330,"Engineering Services",9.356,48,NA,NA,TRUE,"NB","Mcleod Hill",2025
"Frontier Subsea Inc",47.5277900695801,-52.8761291503906,541330,"Engineering Services",0.585,3,NA,NA,TRUE,"NL","Paradise",2025
"Pardy Surveys Inc",47.482277,-53.037291,541370,"Surveying and Mapping (except Geophysical) Service",0.296,3,NA,NA,TRUE,"NL","Conception Bay South",2025
"Able Land Surveying Inc",44.560562,-64.225079,541370,"Surveying and Mapping (except Geophysical) Service",0.197,2,NA,NA,TRUE,"NS","Chester",2025
"Guy Boulanger",44.676698,-63.563732,541330,"Engineering Services",8.966,46,NA,NA,TRUE,"NS","Dartmouth",2025
"JVK Industrial Automation Inc",44.52761684,-78.37338542,541330,"Engineering Services",0.585,3,NA,NA,TRUE,"ON","Hbmtwp",2025
"Arbitech Inc",44.311368,-79.326353,541330,"Engineering Services",0.585,3,NA,NA,TRUE,"ON","Sutton West",2025
"Mallory Falconer",44.411372,-79.650333,331110,"Iron and Steel Mills and Ferroalloy Manufacturing",20.617,32,NA,NA,TRUE,"ON","Barrie",2025
"Magh Engineering",43.6491016,-79.6560315,541330,"Engineering Services",1.17,6,NA,NA,TRUE,"ON","Mississauga",2025
"Bluechip Technologies Inc",43.5487,-79.749825,541511,"Custom Computer Programming Services",5.685,38,NA,NA,TRUE,"ON","Mississauga",2025
"Connected 360",43.600134,-79.752629,541511,"Custom Computer Programming Services",0.3,2,NA,NA,TRUE,"ON","Mississauga",2025
"ONECALLMETALROOFING.COM",43.434206,-79.680643,541330,"Engineering Services",0.358,3,NA,NA,TRUE,"ON","Oakville",2025
"Gurkirt Consulting",43.774183,-79.72949,541511,"Custom Computer Programming Services",1.197,8,NA,NA,TRUE,"ON","Brampton",2025
"DSM Engineering Plastics Cnd",43.227437,-79.760164,541330,"Engineering Services",6.627,34,NA,NA,TRUE,"ON","Stoney Creek",2025
"Vipin Sehgal & Assoc",43.785536,-79.175402,541511,"Custom Computer Programming Services",0.898,6,NA,NA,TRUE,"ON","Scarborough",2025
"Bastech",43.760637,-79.425898,541330,"Engineering Services",6.627,34,NA,NA,TRUE,"ON","North York",2025
"1710480 Ontario Inc",43.66221,-79.335949,541511,"Custom Computer Programming Services",0.15,1,NA,NA,TRUE,"ON","Toronto",2025
