region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
48,Alberta,2020,336612,Boat Building,secondary,1.782,<$5M,2,4.5,9.0,0.022,0.078,0.024,False
48,Alberta,2020,336992,"Military Armored Vehicle, Tank & Tank Cmpnnt Mfg",primary,89.598,>=$5M,3,36.3,109.0,4.025,4.163,4.537,False
48,Alberta,2020,336999,All Other Transportation Equipment Manufacturing,primary,,<$5M,<2,,,,,,True
48,Alberta,2020,541330,Engineering Services,secondary,6330.682,>=$5M,1540,17.8,27384.0,1.359,1.473,1.529,False
48,Alberta,2020,541370,Surveying & Mapping (except Geophysical) Services,secondary,574.917,>=$5M,355,11.0,3892.0,1.667,1.382,1.876,False
48,Alberta,2020,541511,Custom Computer Programming Services,secondary,308.844,>=$5M,209,7.1,1487.0,0.56,0.849,0.63,False
48,Alberta,2020,ALL,All,all,9311.232,>=$5M,2204,15.8,34914.0,1.133,1.303,1.365,False
48,Alberta,2020,PRIMARY,Primary,primary,174.504,>=$5M,22,15.0,331.0,0.339,0.93,0.342,False
48,Alberta,2020,SECONDARY,Secondary,secondary,9136.728,>=$5M,2182,15.8,34583.0,1.186,1.309,1.405,False
48,Alberta,2021,325920,Explosives Manufacturing,primary,15.504,>=$5M,5,9.4,47.0,1.701,1.652,1.776,False
48,Alberta,2021,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,1372.495,>=$5M,72,16.6,1193.0,0.784,0.962,0.841,False
48,Alberta,2021,331221,Rolled Steel Shape Manufacturing,secondary,,>=$5M,<2,,,,,,True
48,Alberta,2021,334511,"Search, Detection, Navigation, Guidance, Aeronauti",primary,54.908,>=$5M,6,24.7,148.0,0.346,0.551,0.384,False
48,Alberta,2021,336411,Aircraft Manufacturing,primary,13.31,>=$5M,7,3.1,22.0,0.047,0.863,0.052,False
48,Alberta,2021,336611,Ship Building and Repairing,secondary,,<$5M,<2,,,,,,True
48,Alberta,2021,336612,Boat Building,secondary,1.782,<$5M,2,4.5,9.0,0.022,0.078,0.024,False
48,Alberta,2021,336992,"Military Armored Vehicle, Tank, and Tank Component",primary,89.598,>=$5M,3,36.3,109.0,4.053,4.129,4.463,False
48,Alberta,2021,336999,All Other Transportation Equipment Manufacturing,primary,,<$5M,<2,,,,,,True
48,Alberta,2021,541330,Engineering Services,secondary,5540.431,>=$5M,1526,15.8,24064.0,1.831,1.479,2.006,False
48,Alberta,2021,541370,Surveying and Mapping (except Geophysical) Service,secondary,576.828,>=$5M,353,11.1,3903.0,1.701,1.373,1.871,False
48,Alberta,2021,541511,Custom Computer Programming Services,secondary,321.264,>=$5M,217,7.1,1542.0,0.581,0.865,0.636,False
48,Alberta,2021,ALL,All,all,8321.18,>=$5M,2194,14.3,31459.0,1.305,1.305,1.603,False
48,Alberta,2021,PRIMARY,Primary,primary,174.504,>=$5M,22,15.0,330.0,0.341,0.899,0.337,False
48,Alberta,2021,SECONDARY,Secondary,secondary,8146.676,>=$5M,2172,14.3,31129.0,1.389,1.311,1.67,False
48,Alberta,2022,325920,Explosives Manufacturing,primary,9.69,>=$5M,2,15.0,30.0,1.216,0.842,1.253,False
48,Alberta,2022,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,1392.997,>=$5M,73,16.3,1191.0,0.984,0.973,1.02,False
48,Alberta,2022,331221,Rolled Steel Shape Manufacturing,secondary,,>=$5M,<2,,,,,,True
48,Alberta,2022,333310,Commercial and Service Industry Machinery Manufact,primary,215.962,>=$5M,79,8.0,634.0,0.49,0.676,0.486,False
48,Alberta,2022,334511,"Search, Detection, Navigation, Guidance, Aeronauti",primary,54.908,>=$5M,6,19.5,117.0,0.351,0.543,0.308,False
48,Alberta,2022,334610,Manufacturing and Reproducing Magnetic and Optical,secondary,80.68,>=$5M,10,18.3,183.0,0.625,0.397,0.543,False
48,Alberta,2022,336411,Aircraft Manufacturing,primary,13.31,>=$5M,7,3.1,22.0,0.062,0.867,0.058,False
48,Alberta,2022,336611,Ship Building and Repairing,secondary,,<$5M,<2,,,,,,True
48,Alberta,2022,336612,Boat Building,secondary,1.782,<$5M,2,4.5,9.0,0.022,0.079,0.024,False
48,Alberta,2022,336992,"Military Armored Vehicle, Tank, and Tank Component",primary,89.598,>=$5M,3,36.3,109.0,4.156,4.21,4.462,False
48,Alberta,2022,336999,All Other Transportation Equipment Manufacturing,primary,,<$5M,<2,,,,,,True
48,Alberta,2022,541330,Engineering Services,secondary,5472.174,>=$5M,1613,14.6,23630.0,1.749,1.411,1.939,False
48,Alberta,2022,541370,Surveying and Mapping (except Geophysical) Service,secondary,596.673,>=$5M,360,11.1,3989.0,1.757,1.384,1.892,False
48,Alberta,2022,541511,Custom Computer Programming Services,secondary,323.748,>=$5M,220,7.0,1533.0,0.6,0.87,0.637,False
48,Alberta,2022,ALL,All,all,8586.582,>=$5M,2378,13.4,31869.0,1.297,1.228,1.507,False
48,Alberta,2022,PRIMARY,Primary,primary,384.652,>=$5M,98,9.3,916.0,0.438,0.695,0.411,False
48,Alberta,2022,SECONDARY,Secondary,secondary,8201.93,>=$5M,2280,13.6,30953.0,1.428,1.269,1.636,False
48,Alberta,2023,325920,Explosives Manufacturing,primary,3.23,<$5M,2,5.0,10.0,0.879,1.566,0.758,False
48,Alberta,2023,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,1223.614,>=$5M,69,15.9,1097.0,1.033,0.96,0.995,False
48,Alberta,2023,331221,Rolled Steel Shape Manufacturing,secondary,,>=$5M,<2,,,,,,True
48,Alberta,2023,333310,Commercial and Service Industry Machinery Manufact,primary,179.485,>=$5M,77,8.3,641.0,0.461,0.666,0.482,False
48,Alberta,2023,334511,"Search, Detection, Navigation, Guidance, Aeronauti",primary,49.469,>=$5M,5,40.0,200.0,0.248,0.439,0.45,False
