region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,total_sales_M_real,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
59,British Columbia / Colombie-Britannique,2017,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,515.176,648.711,>=$5M,36,12.6,454.0,0.25,0.343,0.225,False
59,British Columbia / Colombie-Britannique,2017,333314,Optical Instrument & Lens Manufacturing,secondary,0.858,1.08,<$5M,2,1.5,3.0,0.231,0.651,0.21,False
59,British Columbia / Colombie-Britannique,2017,334511,Search Detection & Navigation Instruments,secondary,179.42,225.926,>=$5M,20,26.0,519.0,1.5,1.834,1.447,False
59,British Columbia / Colombie-Britannique,2017,336411,Aircraft Manufacturing,secondary,289.19,364.149,>=$5M,11,43.5,478.0,0.348,0.981,0.318,False
59,British Columbia / Colombie-Britannique,2017,336611,Ship Building & Repairing,secondary,110.112,138.653,>=$5M,47,10.6,496.0,1.472,2.354,1.342,False
59,British Columbia / Colombie-Britannique,2017,336612,Boat Building,secondary,285.912,360.021,>=$5M,84,17.2,1444.0,3.719,2.431,3.393,False
59,British Columbia / Colombie-Britannique,2017,336992,"Military Armored Vehicle, Tank & Tank Cmpnnt Mfg",primary,5.754,7.245,>=$5M,2,3.5,7.0,0.268,1.861,0.244,False
59,British Columbia / Colombie-Britannique,2017,336999,All Other Transportation Equipment Manufacturing,secondary,,,<$5M,<2,,,,,,True
59,British Columbia / Colombie-Britannique,2017,541330,Engineering Services,secondary,5114.002,6439.564,>=$5M,1675,13.2,22159.0,0.925,1.218,0.843,False
59,British Columbia / Colombie-Britannique,2017,541370,Surveying & Mapping (except Geophysical) Services,secondary,331.338,417.222,>=$5M,289,7.8,2254.0,0.982,0.867,0.894,False
59,British Columbia / Colombie-Britannique,2017,541511,Custom Computer Programming Services,secondary,1046.385,1317.611,>=$5M,615,8.2,5055.0,1.903,1.972,1.732,False
59,British Columbia / Colombie-Britannique,2017,ALL,All,all,7905.871,9955.092,>=$5M,2790,11.8,32955.0,0.814,1.26,0.897,False
59,British Columbia / Colombie-Britannique,2017,PRIMARY,Primary,primary,32.886,41.41,>=$5M,10,9.1,91.0,0.438,1.252,0.405,False
59,British Columbia / Colombie-Britannique,2017,SECONDARY,Secondary,secondary,7872.985,9913.682,>=$5M,2780,11.8,32864.0,0.817,1.26,0.9,False
59,British Columbia / Colombie-Britannique,2018,325920,Explosives Manufacturing,primary,40.052,49.299,>=$5M,11,11.3,124.0,1.725,1.186,1.575,False
59,British Columbia / Colombie-Britannique,2018,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,506.472,623.409,>=$5M,36,12.6,455.0,0.212,0.336,0.195,False
59,British Columbia / Colombie-Britannique,2018,333314,Optical Instrument & Lens Manufacturing,secondary,0.858,1.056,<$5M,2,1.5,3.0,0.235,0.681,0.214,False
59,British Columbia / Colombie-Britannique,2018,334511,Search Detection & Navigation Instruments,secondary,200.196,246.418,>=$5M,23,25.0,575.0,1.502,1.814,1.444,False
59,British Columbia / Colombie-Britannique,2018,336411,Aircraft Manufacturing,secondary,289.19,355.96,>=$5M,11,43.5,478.0,0.361,0.975,0.33,False
59,British Columbia / Colombie-Britannique,2018,336611,Ship Building & Repairing,secondary,110.556,136.082,>=$5M,48,10.4,498.0,1.504,2.425,1.373,False
59,British Columbia / Colombie-Britannique,2018,336612,Boat Building,secondary,282.744,348.025,>=$5M,82,17.4,1428.0,3.696,2.4,3.38,False
59,British Columbia / Colombie-Britannique,2018,336992,"Military Armored Vehicle, Tank & Tank Cmpnnt Mfg",primary,5.754,7.083,>=$5M,2,3.5,7.0,0.267,1.848,0.244,False
59,British Columbia / Colombie-Britannique,2018,336999,All Other Transportation Equipment Manufacturing,secondary,,,<$5M,<2,,,,,,True
59,British Columbia / Colombie-Britannique,2018,541330,Engineering Services,secondary,5201.357,6402.27,>=$5M,1726,13.1,22536.0,1.15,1.206,1.05,False
59,British Columbia / Colombie-Britannique,2018,541370,Surveying & Mapping (except Geophysical) Services,secondary,324.87,399.877,>=$5M,292,7.6,2210.0,0.958,0.864,0.875,False
59,British Columbia / Colombie-Britannique,2018,541511,Custom Computer Programming Services,secondary,1021.959,1257.914,>=$5M,622,7.9,4937.0,1.892,1.986,1.726,False
59,British Columbia / Colombie-Britannique,2018,ALL,All,all,7984.6,9828.121,>=$5M,2856,11.6,33253.0,0.885,1.251,1.033,False
59,British Columbia / Colombie-Britannique,2018,PRIMARY,Primary,primary,45.806,56.382,>=$5M,13,10.1,131.0,0.538,1.152,0.507,False
59,British Columbia / Colombie-Britannique,2018,SECONDARY,Secondary,secondary,7938.794,9771.739,>=$5M,2843,11.7,33122.0,0.888,1.251,1.038,False
59,British Columbia / Colombie-Britannique,2019,325920,Explosives Manufacturing,primary,40.052,48.357,>=$5M,11,11.3,124.0,1.732,1.189,1.581,False
59,British Columbia / Colombie-Britannique,2019,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,507.611,612.866,>=$5M,37,12.3,456.0,0.222,0.355,0.205,False
59,British Columbia / Colombie-Britannique,2019,333314,Optical Instrument & Lens Manufacturing,secondary,0.858,1.036,<$5M,2,1.5,3.0,0.238,0.694,0.217,False
59,British Columbia / Colombie-Britannique,2019,334511,Search Detection & Navigation Instruments,secondary,209.1,252.457,>=$5M,25,24.0,599.0,1.253,1.513,1.204,False
59,British Columbia / Colombie-Britannique,2019,336411,Aircraft Manufacturing,secondary,289.19,349.154,>=$5M,11,43.5,478.0,0.38,0.994,0.347,False
59,British Columbia / Colombie-Britannique,2019,336414,Guided Missile & Space Vehicle Manufacturing,primary,,,<$5M,<2,,,,,,True
59,British Columbia / Colombie-Britannique,2019,336611,Ship Building & Repairing,secondary,119.88,144.737,>=$5M,53,10.2,540.0,1.583,2.608,1.445,False
59,British Columbia / Colombie-Britannique,2019,336612,Boat Building,secondary,282.942,341.611,>=$5M,83,17.2,1429.0,3.744,2.477,3.424,False
59,British Columbia / Colombie-Britannique,2019,336992,"Military Armored Vehicle, Tank & Tank Cmpnnt Mfg",primary,5.754,6.947,>=$5M,2,3.5,7.0,0.271,1.884,0.248,False
59,British Columbia / Colombie-Britannique,2019,336999,All Other Transportation Equipment Manufacturing,secondary,,,<$5M,<2,,,,,,True
59,British Columbia / Colombie-Britannique,2019,541330,Engineering Services,secondary,5378.624,6493.898,>=$5M,1881,12.4,23306.0,1.169,1.216,1.067,False
59,British Columbia / Colombie-Britannique,2019,541370,Surveying & Mapping (except Geophysical) Services,secondary,350.007,422.582,>=$5M,318,7.5,2381.0,1.006,0.909,0.918,False
59,British Columbia / Colombie-Britannique,2019,541511,Custom Computer Programming Services,secondary,1094.409,1321.338,>=$5M,658,8.0,5287.0,1.806,1.915,1.648,False
59,British Columbia / Colombie-Britannique,2019,ALL,All,all,8279.767,9996.601,>=$5M,3083,11.2,34614.0,0.914,1.263,1.052,False
59,British Columbia / Colombie-Britannique,2019,PRIMARY,Primary,primary,46.554,56.207,>=$5M,14,9.5,133.0,0.552,1.231,0.519,False
59,British Columbia / Colombie-Britannique,2019,SECONDARY,Secondary,secondary,8233.213,9940.394,>=$5M,3069,11.2,34481.0,0.917,1.263,1.056,False
59,British Columbia / Colombie-Britannique,2020,325920,Explosives Manufacturing,primary,40.052,48.004,>=$5M,11,11.3,124.0,1.673,1.144,1.534,False
59,British Columbia / Colombie-Britannique,2020,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,448.383,537.405,>=$5M,35,11.5,404.0,0.198,0.339,0.184,False
59,British Columbia / Colombie-Britannique,2020,333314,Optical Instrument & Lens Manufacturing,secondary,0.858,1.028,<$5M,2,1.5,3.0,0.26,0.771,0.238,False
59,British Columbia / Colombie-Britannique,2020,334511,Search Detection & Navigation Instruments,secondary,209.1,250.615,>=$5M,25,24.0,599.0,1.257,1.545,1.213,False
59,British Columbia / Colombie-Britannique,2020,336411,Aircraft Manufacturing,secondary,289.19,346.606,>=$5M,11,43.5,478.0,0.622,0.987,0.57,False
59,British Columbia / Colombie-Britannique,2020,336414,Guided Missile & Space Vehicle Manufacturing,primary,,,<$5M,<2,,,,,,True
59,British Columbia / Colombie-Britannique,2020,336611,Ship Building & Repairing,secondary,120.99,145.011,>=$5M,54,10.1,545.0,1.583,2.621,1.452,False
59,British Columbia / Colombie-Britannique,2020,336612,Boat Building,secondary,298.782,358.102,>=$5M,84,18.0,1509.0,3.84,2.525,3.533,False
59,British Columbia / Colombie-Britannique,2020,336992,"Military Armored Vehicle, Tank & Tank Cmpnnt Mfg",primary,5.754,6.896,>=$5M,2,3.5,7.0,0.269,1.872,0.247,False
