"CONAME","lat","long","NAICS6","NAICSD","sales_M","employees","PUBPRV","HDBRCH","STATE","STCITY","year"
"Tryadd Engineering",45.585712,-62.63649,541330,"Engineering Services",0.462,2,NA,NA,"NS","New Glasgow",2017
"Burnside",43.8345697,-79.0816704,541330,"Engineering Services",2.772,12,NA,NA,"ON","Pickering",2017
"Schwerzmann Group Inc",42.948776,-81.289505,541330,"Engineering Services",0.693,3,NA,NA,"ON","London",2017
"Concept Db",48.08671,-77.88538,541330,"Engineering Services",1.155,5,NA,NA,"QC","Val-D'or",2017
"Trick Engineering Inc",43.581145,-81.527616,541330,"Engineering Services",0.231,1,NA,NA,"ON","Clinton",2017
"Greer Galloway Group",43.971802,-78.196313,541330,"Engineering Services",0.693,3,NA,NA,"ON","Cobourg",2017
"Mc Cabe Project Svc",44.327919,-81.453104,541330,"Engineering Services",0.462,2,NA,NA,"ON","Tiverton",2017
"Orthoplan",45.18365,-72.83659,541330,"Engineering Services",0.693,3,NA,NA,"QC","Dunham",2017
"Tekniba Hba Inc",45.304526,-73.252068,541330,"Engineering Services",0.924,4,NA,NA,"QC","Saint-Jean-Sur-Richelieu",2017
"Dynamysk Automation Ltd",50.942276,-113.975075,541330,"Engineering Services",23.1,100,NA,NA,"AB","Calgary",2017
"Mea Forensic Engrs-Scientists",43.632097,-79.671689,541330,"Engineering Services",2.772,12,NA,NA,"ON","Mississauga",2017
"Wedler Engineering LLP",49.670056,-124.996576,541330,"Engineering Services",1.617,7,NA,NA,"BC","Courtenay",2017
"Altus Engineering Ltd",49.276673,-123.129,541330,"Engineering Services",1.155,5,NA,NA,"BC","Vancouver",2017
"Outlook Land Design Inc",49.671108,-124.906993,541330,"Engineering Services",0.693,3,NA,NA,"BC","Comox",2017
"AC Eagle Enterprises Ltd",50.671423,-120.37403,541330,"Engineering Services",0.924,4,NA,NA,"BC","Kamloops",2017
"Danik Fire Protecton Ltd",43.7087295,-79.2521991,541330,"Engineering Services",0.462,2,NA,NA,"ON","Scarborough",2017
"Shoreplan Engineering Ltd",43.707089,-79.396829,541330,"Engineering Services",1.848,8,NA,NA,"ON","Toronto",2017
"Stonecrest Engineering Inc",43.398651,-80.850037,541330,"Engineering Services",0.693,3,NA,NA,"ON","Shakespeare",2017
"Jancy Engineering",43.358012,-79.798114,541330,"Engineering Services",0.462,2,NA,NA,"ON","Burlington",2017
"Carlson Consultants Ltd",48.936524,-57.965435,541330,"Engineering Services",0.462,2,NA,NA,"NL","Corner Brook",2017
"Geotech Services Inc",43.377077,-79.821342,541330,"Engineering Services",1.617,7,NA,NA,"ON","Burlington",2017
"Edison Engineers Inc",43.265524,-79.954658,541330,"Engineering Services",2.079,9,NA,NA,"ON","Dundas",2017
"Dionne Design Inc",51.188779,-114.463609,541330,"Engineering Services",2.31,10,NA,NA,"AB","Cochrane",2017
"K F Stone Design Intl Inc",49.290327,-123.130221,541330,"Engineering Services",5.775,25,NA,NA,"BC","Vancouver",2017
"Netupsky Engineering Co Ltd",49.20235,-123.134567,541330,"Engineering Services",1.617,7,NA,NA,"BC","Vancouver",2017
"Chiu Sandys Wunsch Engineering",49.26587,-123.128421,541330,"Engineering Services",1.617,7,NA,NA,"BC","Vancouver",2017
"M Z Khan Engineering Ltd",49.2398185,-123.03033,541330,"Engineering Services",0.231,1,NA,NA,"BC","Vancouver",2017
"Exact DMI Inc",46.782098,-71.252872,541330,"Engineering Services",1.155,5,NA,NA,"QC","Quebec",2017
"Services Precicad Inc",46.813133,-71.225485,541330,"Engineering Services",5.775,25,NA,NA,"QC","Quebec",2017
"SMC Conseils",46.791311,-71.262871,541330,"Engineering Services",1.155,5,NA,NA,"QC","Quebec",2017
"Cegertec Experts-Conseils Inc",46.840127,-71.279462,541330,"Engineering Services",4.62,20,NA,NA,"QC","Quebec",2017
"Pleora",46.720594,-71.266428,541330,"Engineering Services",1.155,5,NA,NA,"QC","Levis",2017
"Jule Lebel Ingenieur Conseil",46.76808,-71.356573,541330,"Engineering Services",0.693,3,NA,NA,"QC","Quebec",2017
"Crewtech Group",43.257107,-79.870479,541330,"Engineering Services",1.617,7,NA,NA,"ON","Hamilton",2017
"Williams Engineering Canada",52.308388,-113.807256,541330,"Engineering Services",2.31,10,NA,NA,"AB","Red Deer",2017
"S J Ventures Ltd",52.266843,-113.812084,541330,"Engineering Services",0.693,3,NA,NA,"AB","Red Deer",2017
"Cobalt Creek Capital Inc",49.287644,-123.120068,541330,"Engineering Services",0.462,2,NA,NA,"BC","Vancouver",2017
"Taproot Systems",49.287721,-123.12129,541330,"Engineering Services",2.079,9,NA,NA,"BC","Vancouver",2017
"JNE Consulting",43.263195,-79.847615,541330,"Engineering Services",5.775,25,NA,NA,"ON","Hamilton",2017
