region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,total_sales_M_real,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
5909052,Abbotsford,2022,SECONDARY,Secondary,secondary,238.212,258.693,>=$5M,74,9.8,725.0,0.918,1.041,0.803,False
5909052,Abbotsford,2023,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,53.546,55.966,>=$5M,4,10.8,43.0,1.012,1.531,0.83,False
5909052,Abbotsford,2023,333310,Commercial and Service Industry Machinery Manufact,secondary,38.244,39.972,>=$5M,8,14.6,117.0,2.858,1.94,2.59,False
5909052,Abbotsford,2023,334511,"Search, Detection, Navigation, Guidance, Aeronauti",secondary,,,>=$5M,<2,,,,,,True
5909052,Abbotsford,2023,334610,Manufacturing and Reproducing Magnetic and Optical,secondary,,,<$5M,<2,,,,,,True
5909052,Abbotsford,2023,541330,Engineering Services,secondary,108.616,113.525,>=$5M,38,11.9,454.0,0.75,0.894,0.761,False
5909052,Abbotsford,2023,541370,Surveying and Mapping (except Geophysical) Service,secondary,6.423,6.713,>=$5M,8,6.5,52.0,0.634,0.896,0.759,False
5909052,Abbotsford,2023,541511,Custom Computer Programming Services,secondary,8.593,8.981,>=$5M,12,3.7,44.0,0.366,1.306,0.414,False
5909052,Abbotsford,2023,ALL,All,all,224.157,234.288,>=$5M,72,10.2,735.0,0.807,1.017,0.768,False
5909052,Abbotsford,2023,SECONDARY,Secondary,secondary,224.157,234.288,>=$5M,72,10.2,735.0,0.814,1.022,0.776,False
5909052,Abbotsford,2024,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,27.474,28.037,>=$5M,4,10.8,43.0,0.554,1.42,0.603,False
5909052,Abbotsford,2024,333310,Commercial and Service Industry Machinery Manufact,secondary,22.004,22.455,>=$5M,7,17.9,125.0,2.311,1.54,2.477,False
5909052,Abbotsford,2024,334511,"Search, Detection, Navigation, Guidance, Aeronauti",secondary,,,>=$5M,<2,,,,,,True
5909052,Abbotsford,2024,336411,Aircraft Manufacturing,secondary,,,<$5M,<2,,,,,,True
5909052,Abbotsford,2024,541330,Engineering Services,secondary,101.565,103.648,>=$5M,42,12.4,522.0,0.596,0.869,0.651,False
5909052,Abbotsford,2024,541370,Surveying and Mapping (except Geophysical) Service,secondary,4.041,4.124,<$5M,9,4.4,40.0,0.707,0.938,0.757,False
5909052,Abbotsford,2024,541511,Custom Computer Programming Services,secondary,11.824,12.067,>=$5M,10,8.1,81.0,0.444,0.843,0.501,False
5909052,Abbotsford,2024,ALL,All,all,176.33,179.946,>=$5M,74,11.5,849.0,0.589,0.912,0.674,False
5909052,Abbotsford,2024,SECONDARY,Secondary,secondary,176.33,179.946,>=$5M,74,11.5,849.0,0.596,0.917,0.683,False
