region_uid,region_name,year,tier,object_sector,total_value,total_value_real,n_contracts,n_vendors
47,Saskatchewan,2019,ALL,ALL,7131019.9,8609657.84985294,141,48
47,Saskatchewan,2020,ALL,ALL,17655595.22,21160939.672437955,168,63
47,Saskatchewan,2021,ALL,ALL,10458812.2,12128085.89858757,174,67
47,Saskatchewan,2022,ALL,ALL,4505673084.53,4893065611.639061,262,91
47,Saskatchewan,2023,ALL,ALL,70183001.98,73354862.66782941,223,90
47,Saskatchewan,2024,ALL,ALL,17732488.89,18096175.734853946,135,67
47,Saskatchewan,2025,ALL,ALL,26189727.72,26189727.72,212,75
47,Saskatchewan,2026,ALL,ALL,4056896.93,3969859.8087365907,43,36
48,Alberta,2016,ALL,ALL,7196766.7,9203341.839096572,167,68
48,Alberta,2017,ALL,ALL,761739941.49,959184803.6246779,1627,419
48,Alberta,2018,ALL,ALL,276313224.01,340109680.52805096,2097,496
48,Alberta,2019,ALL,ALL,210058358.48,253614576.9295294,2049,450
48,Alberta,2020,ALL,ALL,319502118.32,382936115.5338978,1567,421
48,Alberta,2021,ALL,ALL,299067724.53,346800285.08351696,2030,442
48,Alberta,2022,ALL,ALL,307856904.57,334326082.8729762,2032,497
48,Alberta,2023,ALL,ALL,322105738.7,336663031.7921069,2115,581
48,Alberta,2024,ALL,ALL,333557757.1,340398904.3866998,1718,509
48,Alberta,2025,ALL,ALL,229562188.95,229562188.95,2070,598
48,Alberta,2026,ALL,ALL,39124332.89,38284955.068760425,434,209
59,British Columbia,2016,ALL,ALL,11406101.29,14586307.10138629,101,64
59,British Columbia,2017,ALL,ALL,493421028.74,621316970.2385583,1069,326
59,British Columbia,2018,ALL,ALL,378415218.97,465785449.43683654,1520,396
59,British Columbia,2019,ALL,ALL,1412419623.6,1705288986.7288234,1364,347
59,British Columbia,2020,ALL,ALL,140431573.98,168312879.1789489,1182,341
59,British Columbia,2021,ALL,ALL,382306885.17,443324791.9838559,1528,406
59,British Columbia,2022,ALL,ALL,1457461918.88,1582772798.1487832,1248,423
59,British Columbia,2023,ALL,ALL,205043279.17,214310034.62580523,1712,569
59,British Columbia,2024,ALL,ALL,4410637534.65,4501098093.160534,1538,500
59,British Columbia,2025,ALL,ALL,281825343.75,281825343.75,2185,699
59,British Columbia,2026,ALL,ALL,104922945.11,102671916.49023837,546,288
60,Yukon,2016,ALL,ALL,112208.64,143494.22654205607,7,1
60,Yukon,2017,ALL,ALL,402842.46,507260.21420245396,9,8
60,Yukon,2018,ALL,ALL,3478966.89,4282206.621724138,10,5
60,Yukon,2019,ALL,ALL,374252.92,451855.36370588234,20,3
60,Yukon,2020,ALL,ALL,158957.35,190516.76547445258,4,2
60,Yukon,2021,ALL,ALL,666053.6,772358.7649717514,15,3
60,Yukon,2022,ALL,ALL,876735,952115.6547619049,22,6
60,Yukon,2023,ALL,ALL,795996.05,831970.4099936347,23,7
60,Yukon,2024,ALL,ALL,983177.71,1003342.3243132379,17,9
60,Yukon,2025,ALL,ALL,4241962.53,4241962.53,27,20
60,Yukon,2026,ALL,ALL,324316.47000000003,317358.5481168057,9,9
61,Northwest Territories,2017,ALL,ALL,898799.59,1131770.6493711655,22,19
61,Northwest Territories,2018,ALL,ALL,631104.28,776816.5125637181,18,14
61,Northwest Territories,2019,ALL,ALL,1971979.07,2380874.730102941,33,19
61,Northwest Territories,2020,ALL,ALL,1910731.19,2290088.03940146,37,9
